Link,Title,Intro
/vinfo/us/security/news/cybercrime-and-digital-threats/hackers-exploit-instagram-api-flaw-to-steal-information-from-verified-users,Hackers Exploit Instagram API Flaw to Steal Information from Verified Users  ,Hackers abused a bug in Instagram’s API and gained access to prominent users’ contact information. The company confirmed that email addresses and phone numbers were stolen.   
/vinfo/us/security/news/cybercrime-and-digital-threats/facebook-instagram-and-tinder-were-down-what-this-means-for-you,"Facebook, Instagram, and Tinder Were Down: What This Means for You","Facebook, Instagram, Tinder, and other sites were down for about an hour. Facebook is back up now and has sent a brief word  of how a change in infrastructure configuration could have caused the outage."
https://www.securityweek.com/turla-malware-obtains-cc-address-instagram-comments,Turla Malware Obtains C&C Address From Instagram Comments,Backdoor used by the Russia-linked cyberespionage group Turla obtains the address of its C&C server from comments posted to Instagram  [Read More]
https://www.securityweek.com/hackers-sell-celebrity-info-obtained-instagram-hack,Hackers Sell Celebrity Info Obtained in Instagram Hack,Hackers are selling phone numbers and email addresses of millions of celebrities and other high profile Instagram users  [Read More]
https://www.securityweek.com/facebook-instagram-suffer-outage-deny-hacker-attack,"Facebook, Instagram Suffer Outage but Deny Hacker Attack","An an outage at Facebook on Jan. 26 was not the result of a third party attack, Facebook said, but occurred after the company introduced a change that affected its configuration systems.  [Read More]"
https://www.securityweek.com/instagram-patches-privacy-vulnerability-exposed-private-photos,Instagram Patches Privacy Vulnerability That Exposed Private Photos,"A security published an advisory, detailing what he called a vulnerability that made it possible to gain access to private photo albums and profile information.  [Read More]"
https://www.securityweek.com/instagram-yields-user-outrage-over-privacy-policy-change,Instagram Yields to User Outrage Over Privacy Policy Change,"Instagram backed down from a planned policy change that appeared to clear the way for the mobile photo sharing service to sell pictures without compensation, after users cried foul.  [Read More]"
https://www.securityweek.com/instagram-gets-two-factor-authentication,Instagram Gets Two-Factor Authentication,"Instagram, Facebook’s mobile photo-sharing and video sharing service, is finally getting a long requested security feature; two-factor authentication.  [Read More]"
https://www.securityweek.com/flaws-allowed-hackers-brute-force-instagram-accounts,Flaws Allowed Hackers to Brute-Force Instagram Accounts,"A researcher received $5,000 from Facebook after finding a couple of vulnerabilities that could have been exploited to brute-force Instagram accounts  [Read More]"
https://www.securityweek.com/facebook-threatens-researcher-over-instagram-hack,"Facebook, Researcher Quarrel Over Instagram Hack",Researcher discloses serious Instagram vulnerabilities after being threatened by Facebook  [Read More]
https://www.securityweek.com/instagram-app-exposes-users-man-middle-attacks-researcher,Instagram App Exposes Users to Man-in-the-Middle Attacks: Researcher,A researcher posts details of a situation affecting the Instagram app for iOS that could leave users susceptible to man-in-the-middle attacks.  [Read More]
