,Link,Title,Intro
0,https://www.securityweek.com/pakistans-sindh-block-skype-whatsapp-over-terrorism,"Pakistan's Sindh to Block Skype, WhatsApp Over Terrorism",Pakistan's southern Sindh province will block access to online communication networks including Skype and WhatsApp for three months in a bid to curb terrorism.  [Read More]
1,https://www.securityweek.com/pakistans-sindh-block-skype-whatsapp-over-terrorism,"Pakistan's Sindh to Block Skype, WhatsApp Over Terrorism",Pakistan's southern Sindh province will block access to online communication networks including Skype and WhatsApp for three months in a bid to curb terrorism.  [Read More]
2,/vinfo/us/threat-encyclopedia/spam/3507/whatsapp-acquisition-by-facebook-employed-for-spam-attack,WhatsApp Acquisition by Facebook Employed for Spam Attack,"Facebook has recently announced its acquisition of popular application, WhatsApp. Spammers are quick to leverage this news and create spammed messages that lead to a malware.Read more   "
3,/vinfo/us/threat-encyclopedia/spam/527/spammers-use-fake-whatsapp-notification-to-lead-users-to-malware,Spammers Use Fake WhatsApp Notification To Lead Users to Malware,"Cybercriminals are always on the heels of anything popular, anything that can hook users. In this spammed message, cybercriminals use WhatsApp, an instant messaging app available for iOS and Android.Read more   "
4,https://www.securityweek.com/pakistans-sindh-block-skype-whatsapp-over-terrorism,"Pakistan's Sindh to Block Skype, WhatsApp Over Terrorism",Pakistan's southern Sindh province will block access to online communication networks including Skype and WhatsApp for three months in a bid to curb terrorism.  [Read More]
5,/vinfo/us/threat-encyclopedia/spam/3507/whatsapp-acquisition-by-facebook-employed-for-spam-attack,WhatsApp Acquisition by Facebook Employed for Spam Attack,"Facebook has recently announced its acquisition of popular application, WhatsApp. Spammers are quick to leverage this news and create spammed messages that lead to a malware.Read more   "
6,/vinfo/us/threat-encyclopedia/spam/527/spammers-use-fake-whatsapp-notification-to-lead-users-to-malware,Spammers Use Fake WhatsApp Notification To Lead Users to Malware,"Cybercriminals are always on the heels of anything popular, anything that can hook users. In this spammed message, cybercriminals use WhatsApp, an instant messaging app available for iOS and Android.Read more   "
7,https://www.securityweek.com/pakistans-sindh-block-skype-whatsapp-over-terrorism,"Pakistan's Sindh to Block Skype, WhatsApp Over Terrorism",Pakistan's southern Sindh province will block access to online communication networks including Skype and WhatsApp for three months in a bid to curb terrorism.  [Read More]
8,/vinfo/us/threat-encyclopedia/spam/3507/whatsapp-acquisition-by-facebook-employed-for-spam-attack,WhatsApp Acquisition by Facebook Employed for Spam Attack,"Facebook has recently announced its acquisition of popular application, WhatsApp. Spammers are quick to leverage this news and create spammed messages that lead to a malware.Read more   "
9,/vinfo/us/threat-encyclopedia/spam/527/spammers-use-fake-whatsapp-notification-to-lead-users-to-malware,Spammers Use Fake WhatsApp Notification To Lead Users to Malware,"Cybercriminals are always on the heels of anything popular, anything that can hook users. In this spammed message, cybercriminals use WhatsApp, an instant messaging app available for iOS and Android.Read more   "
10,https://www.securityweek.com/whatsapp-co-founder-invests-50-million-signal,WhatsApp Co-founder Invests $50 Million in Signal,"Signal announces the launch of the Signal Foundation with a $50 million investment from Brian Acton, the co-founder of WhatsApp  [Read More]"
11,https://www.securityweek.com/security-experts-raise-flags-over-whatsapp,Security Experts Raise Flags over WhatsApp,Security researchers and others point out that there may be vulnerabilities in the system used by some 450 million WhatsApp users globally.  [Read More]
12,https://www.securityweek.com/pakistans-sindh-block-skype-whatsapp-over-terrorism,"Pakistan's Sindh to Block Skype, WhatsApp Over Terrorism",Pakistan's southern Sindh province will block access to online communication networks including Skype and WhatsApp for three months in a bid to curb terrorism.  [Read More]
13,/vinfo/us/threat-encyclopedia/spam/3507/whatsapp-acquisition-by-facebook-employed-for-spam-attack,WhatsApp Acquisition by Facebook Employed for Spam Attack,"Facebook has recently announced its acquisition of popular application, WhatsApp. Spammers are quick to leverage this news and create spammed messages that lead to a malware.Read more   "
14,/vinfo/us/threat-encyclopedia/spam/527/spammers-use-fake-whatsapp-notification-to-lead-users-to-malware,Spammers Use Fake WhatsApp Notification To Lead Users to Malware,"Cybercriminals are always on the heels of anything popular, anything that can hook users. In this spammed message, cybercriminals use WhatsApp, an instant messaging app available for iOS and Android.Read more   "
15,https://www.securityweek.com/whatsapp-co-founder-invests-50-million-signal,WhatsApp Co-founder Invests $50 Million in Signal,"Signal announces the launch of the Signal Foundation with a $50 million investment from Brian Acton, the co-founder of WhatsApp  [Read More]"
16,https://www.securityweek.com/security-experts-raise-flags-over-whatsapp,Security Experts Raise Flags over WhatsApp,Security researchers and others point out that there may be vulnerabilities in the system used by some 450 million WhatsApp users globally.  [Read More]
17,https://www.securityweek.com/pakistans-sindh-block-skype-whatsapp-over-terrorism,"Pakistan's Sindh to Block Skype, WhatsApp Over Terrorism",Pakistan's southern Sindh province will block access to online communication networks including Skype and WhatsApp for three months in a bid to curb terrorism.  [Read More]
18,/vinfo/us/threat-encyclopedia/spam/3507/whatsapp-acquisition-by-facebook-employed-for-spam-attack,WhatsApp Acquisition by Facebook Employed for Spam Attack,"Facebook has recently announced its acquisition of popular application, WhatsApp. Spammers are quick to leverage this news and create spammed messages that lead to a malware.Read more   "
19,/vinfo/us/threat-encyclopedia/spam/527/spammers-use-fake-whatsapp-notification-to-lead-users-to-malware,Spammers Use Fake WhatsApp Notification To Lead Users to Malware,"Cybercriminals are always on the heels of anything popular, anything that can hook users. In this spammed message, cybercriminals use WhatsApp, an instant messaging app available for iOS and Android.Read more   "
20,https://www.securityweek.com/whatsapp-co-founder-invests-50-million-signal,WhatsApp Co-founder Invests $50 Million in Signal,"Signal announces the launch of the Signal Foundation with a $50 million investment from Brian Acton, the co-founder of WhatsApp  [Read More]"
21,https://www.securityweek.com/security-experts-raise-flags-over-whatsapp,Security Experts Raise Flags over WhatsApp,Security researchers and others point out that there may be vulnerabilities in the system used by some 450 million WhatsApp users globally.  [Read More]
22,https://www.securityweek.com/whatsapp-co-founder-invests-50-million-signal,WhatsApp Co-founder Invests $50 Million in Signal,"Signal announces the launch of the Signal Foundation with a $50 million investment from Brian Acton, the co-founder of WhatsApp  [Read More]"
23,https://www.securityweek.com/facebook-whatsapp-both-put-under-notice-europe,"Facebook, WhatsApp Both Put Under Notice by Europe","The French privacy regulator, the National Commission of Computing and Freedoms (CNIL) has issued a formal notice on WhatsApp.  [Read More]"
24,https://www.securityweek.com/whatsapp-telegram-patch-account-hijacking-vulnerability,"WhatsApp, Telegram Patch Account Hijacking Vulnerability",Vulnerability in the web versions of WhatsApp and Telegram allowed hackers to hijack accounts by sending a malicious file to the targeted user  [Read More]
25,https://www.securityweek.com/no-backdoor-whatsapp-can-snoop-encrypted-conversations,"No Backdoor, but WhatsApp Can Snoop Encrypted Conversations","A report emerged on Friday that the popular mobile messaging app WhatsApp packs a backdoor allowing its operator (Facebook) to tap into users’ end-to-end encrypted conversations, but experts have refuted the claim as an exaggeration and F.U.D.  [Read More]"
26,https://www.securityweek.com/eu-regulators-raise-concerns-over-yahoo-and-whatsapp,EU Regulators Raise Concerns over Yahoo and WhatsApp,European data protection regulators have written to both WhatsApp and Yahoo.  [Read More]
27,https://www.securityweek.com/germany-blocks-whatsapp-data-transfers-facebook,Germany Blocks WhatsApp Data Transfers to Facebook,"German data protection authorities have blocked Facebook from collecting subscriber data from its subsidiary WhatsApp, citing privacy concerns.  [Read More]"
28,https://www.securityweek.com/whatsapp-toughens-encryption-after-apple-fbi-row,WhatsApp Toughens Encryption After Apple-FBI Row,"WhatsApp has implemented ""full end-to-end encryption,"" a move which steps up privacy but may lead to conflicts with law enforcement agencies.  [Read More]"
29,https://www.securityweek.com/whatsapp-messages-get-end-end-encryption,WhatsApp Messages Get End-to-End Encryption,An online privacy tool endorsed by Edward Snowden is being used to protect WhatsApp messages from snooping by encrypting them as they travel the Internet.  [Read More]
30,https://www.securityweek.com/security-experts-raise-flags-over-whatsapp,Security Experts Raise Flags over WhatsApp,Security researchers and others point out that there may be vulnerabilities in the system used by some 450 million WhatsApp users globally.  [Read More]
31,https://www.securityweek.com/saudi-threatens-ban-whatsapp-viber-and-skype-sources,"Saudi Threatens to Ban WhatsApp, Viber and Skype: Sources","Sources say Internet messenger applications such as Skype, Viber and WhatsApp face being banned in Saudi Arabia if operators fail to allow authorities in the kingdom to censor them.  [Read More]"
32,https://www.securityweek.com/pakistans-sindh-block-skype-whatsapp-over-terrorism,"Pakistan's Sindh to Block Skype, WhatsApp Over Terrorism",Pakistan's southern Sindh province will block access to online communication networks including Skype and WhatsApp for three months in a bid to curb terrorism.  [Read More]
33,/vinfo/us/threat-encyclopedia/spam/3507/whatsapp-acquisition-by-facebook-employed-for-spam-attack,WhatsApp Acquisition by Facebook Employed for Spam Attack,"Facebook has recently announced its acquisition of popular application, WhatsApp. Spammers are quick to leverage this news and create spammed messages that lead to a malware.Read more   "
34,/vinfo/us/threat-encyclopedia/spam/527/spammers-use-fake-whatsapp-notification-to-lead-users-to-malware,Spammers Use Fake WhatsApp Notification To Lead Users to Malware,"Cybercriminals are always on the heels of anything popular, anything that can hook users. In this spammed message, cybercriminals use WhatsApp, an instant messaging app available for iOS and Android.Read more   "
35,https://www.securityweek.com/whatsapp-co-founder-invests-50-million-signal,WhatsApp Co-founder Invests $50 Million in Signal,"Signal announces the launch of the Signal Foundation with a $50 million investment from Brian Acton, the co-founder of WhatsApp  [Read More]"
36,https://www.securityweek.com/security-experts-raise-flags-over-whatsapp,Security Experts Raise Flags over WhatsApp,Security researchers and others point out that there may be vulnerabilities in the system used by some 450 million WhatsApp users globally.  [Read More]
37,https://www.securityweek.com/whatsapp-co-founder-invests-50-million-signal,WhatsApp Co-founder Invests $50 Million in Signal,"Signal announces the launch of the Signal Foundation with a $50 million investment from Brian Acton, the co-founder of WhatsApp  [Read More]"
38,https://www.securityweek.com/facebook-whatsapp-both-put-under-notice-europe,"Facebook, WhatsApp Both Put Under Notice by Europe","The French privacy regulator, the National Commission of Computing and Freedoms (CNIL) has issued a formal notice on WhatsApp.  [Read More]"
39,https://www.securityweek.com/whatsapp-telegram-patch-account-hijacking-vulnerability,"WhatsApp, Telegram Patch Account Hijacking Vulnerability",Vulnerability in the web versions of WhatsApp and Telegram allowed hackers to hijack accounts by sending a malicious file to the targeted user  [Read More]
40,https://www.securityweek.com/no-backdoor-whatsapp-can-snoop-encrypted-conversations,"No Backdoor, but WhatsApp Can Snoop Encrypted Conversations","A report emerged on Friday that the popular mobile messaging app WhatsApp packs a backdoor allowing its operator (Facebook) to tap into users’ end-to-end encrypted conversations, but experts have refuted the claim as an exaggeration and F.U.D.  [Read More]"
41,https://www.securityweek.com/eu-regulators-raise-concerns-over-yahoo-and-whatsapp,EU Regulators Raise Concerns over Yahoo and WhatsApp,European data protection regulators have written to both WhatsApp and Yahoo.  [Read More]
42,https://www.securityweek.com/germany-blocks-whatsapp-data-transfers-facebook,Germany Blocks WhatsApp Data Transfers to Facebook,"German data protection authorities have blocked Facebook from collecting subscriber data from its subsidiary WhatsApp, citing privacy concerns.  [Read More]"
43,https://www.securityweek.com/whatsapp-toughens-encryption-after-apple-fbi-row,WhatsApp Toughens Encryption After Apple-FBI Row,"WhatsApp has implemented ""full end-to-end encryption,"" a move which steps up privacy but may lead to conflicts with law enforcement agencies.  [Read More]"
44,https://www.securityweek.com/whatsapp-messages-get-end-end-encryption,WhatsApp Messages Get End-to-End Encryption,An online privacy tool endorsed by Edward Snowden is being used to protect WhatsApp messages from snooping by encrypting them as they travel the Internet.  [Read More]
45,https://www.securityweek.com/security-experts-raise-flags-over-whatsapp,Security Experts Raise Flags over WhatsApp,Security researchers and others point out that there may be vulnerabilities in the system used by some 450 million WhatsApp users globally.  [Read More]
46,https://www.securityweek.com/saudi-threatens-ban-whatsapp-viber-and-skype-sources,"Saudi Threatens to Ban WhatsApp, Viber and Skype: Sources","Sources say Internet messenger applications such as Skype, Viber and WhatsApp face being banned in Saudi Arabia if operators fail to allow authorities in the kingdom to censor them.  [Read More]"
47,https://www.securityweek.com/pakistans-sindh-block-skype-whatsapp-over-terrorism,"Pakistan's Sindh to Block Skype, WhatsApp Over Terrorism",Pakistan's southern Sindh province will block access to online communication networks including Skype and WhatsApp for three months in a bid to curb terrorism.  [Read More]
48,/vinfo/us/threat-encyclopedia/spam/3507/whatsapp-acquisition-by-facebook-employed-for-spam-attack,WhatsApp Acquisition by Facebook Employed for Spam Attack,"Facebook has recently announced its acquisition of popular application, WhatsApp. Spammers are quick to leverage this news and create spammed messages that lead to a malware.Read more   "
49,/vinfo/us/threat-encyclopedia/spam/527/spammers-use-fake-whatsapp-notification-to-lead-users-to-malware,Spammers Use Fake WhatsApp Notification To Lead Users to Malware,"Cybercriminals are always on the heels of anything popular, anything that can hook users. In this spammed message, cybercriminals use WhatsApp, an instant messaging app available for iOS and Android.Read more   "
50,https://www.securityweek.com/whatsapp-co-founder-invests-50-million-signal,WhatsApp Co-founder Invests $50 Million in Signal,"Signal announces the launch of the Signal Foundation with a $50 million investment from Brian Acton, the co-founder of WhatsApp  [Read More]"
51,https://www.securityweek.com/security-experts-raise-flags-over-whatsapp,Security Experts Raise Flags over WhatsApp,Security researchers and others point out that there may be vulnerabilities in the system used by some 450 million WhatsApp users globally.  [Read More]
52,https://www.securityweek.com/whatsapp-co-founder-invests-50-million-signal,WhatsApp Co-founder Invests $50 Million in Signal,"Signal announces the launch of the Signal Foundation with a $50 million investment from Brian Acton, the co-founder of WhatsApp  [Read More]"
53,https://www.securityweek.com/facebook-whatsapp-both-put-under-notice-europe,"Facebook, WhatsApp Both Put Under Notice by Europe","The French privacy regulator, the National Commission of Computing and Freedoms (CNIL) has issued a formal notice on WhatsApp.  [Read More]"
54,https://www.securityweek.com/whatsapp-telegram-patch-account-hijacking-vulnerability,"WhatsApp, Telegram Patch Account Hijacking Vulnerability",Vulnerability in the web versions of WhatsApp and Telegram allowed hackers to hijack accounts by sending a malicious file to the targeted user  [Read More]
55,https://www.securityweek.com/no-backdoor-whatsapp-can-snoop-encrypted-conversations,"No Backdoor, but WhatsApp Can Snoop Encrypted Conversations","A report emerged on Friday that the popular mobile messaging app WhatsApp packs a backdoor allowing its operator (Facebook) to tap into users’ end-to-end encrypted conversations, but experts have refuted the claim as an exaggeration and F.U.D.  [Read More]"
56,https://www.securityweek.com/eu-regulators-raise-concerns-over-yahoo-and-whatsapp,EU Regulators Raise Concerns over Yahoo and WhatsApp,European data protection regulators have written to both WhatsApp and Yahoo.  [Read More]
57,https://www.securityweek.com/germany-blocks-whatsapp-data-transfers-facebook,Germany Blocks WhatsApp Data Transfers to Facebook,"German data protection authorities have blocked Facebook from collecting subscriber data from its subsidiary WhatsApp, citing privacy concerns.  [Read More]"
58,https://www.securityweek.com/whatsapp-toughens-encryption-after-apple-fbi-row,WhatsApp Toughens Encryption After Apple-FBI Row,"WhatsApp has implemented ""full end-to-end encryption,"" a move which steps up privacy but may lead to conflicts with law enforcement agencies.  [Read More]"
59,https://www.securityweek.com/whatsapp-messages-get-end-end-encryption,WhatsApp Messages Get End-to-End Encryption,An online privacy tool endorsed by Edward Snowden is being used to protect WhatsApp messages from snooping by encrypting them as they travel the Internet.  [Read More]
60,https://www.securityweek.com/security-experts-raise-flags-over-whatsapp,Security Experts Raise Flags over WhatsApp,Security researchers and others point out that there may be vulnerabilities in the system used by some 450 million WhatsApp users globally.  [Read More]
61,https://www.securityweek.com/saudi-threatens-ban-whatsapp-viber-and-skype-sources,"Saudi Threatens to Ban WhatsApp, Viber and Skype: Sources","Sources say Internet messenger applications such as Skype, Viber and WhatsApp face being banned in Saudi Arabia if operators fail to allow authorities in the kingdom to censor them.  [Read More]"
62,https://www.securityweek.com/whatsapp-telegram-patch-account-hijacking-vulnerability,"WhatsApp, Telegram Patch Account Hijacking Vulnerability",Vulnerability in the web versions of WhatsApp and Telegram allowed hackers to hijack accounts by sending a malicious file to the targeted user  [Read More]
63,https://www.securityweek.com/whatsapp-telegram-patch-account-hijacking-vulnerability,"WhatsApp, Telegram Patch Account Hijacking Vulnerability",Vulnerability in the web versions of WhatsApp and Telegram allowed hackers to hijack accounts by sending a malicious file to the targeted user  [Read More]
64,https://www.securityweek.com/pakistans-sindh-block-skype-whatsapp-over-terrorism,"Pakistan's Sindh to Block Skype, WhatsApp Over Terrorism",Pakistan's southern Sindh province will block access to online communication networks including Skype and WhatsApp for three months in a bid to curb terrorism.  [Read More]
65,/vinfo/us/threat-encyclopedia/spam/3507/whatsapp-acquisition-by-facebook-employed-for-spam-attack,WhatsApp Acquisition by Facebook Employed for Spam Attack,"Facebook has recently announced its acquisition of popular application, WhatsApp. Spammers are quick to leverage this news and create spammed messages that lead to a malware.Read more   "
66,/vinfo/us/threat-encyclopedia/spam/527/spammers-use-fake-whatsapp-notification-to-lead-users-to-malware,Spammers Use Fake WhatsApp Notification To Lead Users to Malware,"Cybercriminals are always on the heels of anything popular, anything that can hook users. In this spammed message, cybercriminals use WhatsApp, an instant messaging app available for iOS and Android.Read more   "
67,https://www.securityweek.com/whatsapp-co-founder-invests-50-million-signal,WhatsApp Co-founder Invests $50 Million in Signal,"Signal announces the launch of the Signal Foundation with a $50 million investment from Brian Acton, the co-founder of WhatsApp  [Read More]"
68,https://www.securityweek.com/security-experts-raise-flags-over-whatsapp,Security Experts Raise Flags over WhatsApp,Security researchers and others point out that there may be vulnerabilities in the system used by some 450 million WhatsApp users globally.  [Read More]
69,https://www.securityweek.com/whatsapp-co-founder-invests-50-million-signal,WhatsApp Co-founder Invests $50 Million in Signal,"Signal announces the launch of the Signal Foundation with a $50 million investment from Brian Acton, the co-founder of WhatsApp  [Read More]"
70,https://www.securityweek.com/facebook-whatsapp-both-put-under-notice-europe,"Facebook, WhatsApp Both Put Under Notice by Europe","The French privacy regulator, the National Commission of Computing and Freedoms (CNIL) has issued a formal notice on WhatsApp.  [Read More]"
71,https://www.securityweek.com/whatsapp-telegram-patch-account-hijacking-vulnerability,"WhatsApp, Telegram Patch Account Hijacking Vulnerability",Vulnerability in the web versions of WhatsApp and Telegram allowed hackers to hijack accounts by sending a malicious file to the targeted user  [Read More]
72,https://www.securityweek.com/no-backdoor-whatsapp-can-snoop-encrypted-conversations,"No Backdoor, but WhatsApp Can Snoop Encrypted Conversations","A report emerged on Friday that the popular mobile messaging app WhatsApp packs a backdoor allowing its operator (Facebook) to tap into users’ end-to-end encrypted conversations, but experts have refuted the claim as an exaggeration and F.U.D.  [Read More]"
73,https://www.securityweek.com/eu-regulators-raise-concerns-over-yahoo-and-whatsapp,EU Regulators Raise Concerns over Yahoo and WhatsApp,European data protection regulators have written to both WhatsApp and Yahoo.  [Read More]
74,https://www.securityweek.com/germany-blocks-whatsapp-data-transfers-facebook,Germany Blocks WhatsApp Data Transfers to Facebook,"German data protection authorities have blocked Facebook from collecting subscriber data from its subsidiary WhatsApp, citing privacy concerns.  [Read More]"
75,https://www.securityweek.com/whatsapp-toughens-encryption-after-apple-fbi-row,WhatsApp Toughens Encryption After Apple-FBI Row,"WhatsApp has implemented ""full end-to-end encryption,"" a move which steps up privacy but may lead to conflicts with law enforcement agencies.  [Read More]"
76,https://www.securityweek.com/whatsapp-messages-get-end-end-encryption,WhatsApp Messages Get End-to-End Encryption,An online privacy tool endorsed by Edward Snowden is being used to protect WhatsApp messages from snooping by encrypting them as they travel the Internet.  [Read More]
77,https://www.securityweek.com/security-experts-raise-flags-over-whatsapp,Security Experts Raise Flags over WhatsApp,Security researchers and others point out that there may be vulnerabilities in the system used by some 450 million WhatsApp users globally.  [Read More]
