,Link,Title,Intro
0,/vinfo/us/security/news/cybercrime-and-digital-threats/hackers-exploit-instagram-api-flaw-to-steal-information-from-verified-users,Hackers Exploit Instagram API Flaw to Steal Information from Verified Users  ,Hackers abused a bug in Instagram’s API and gained access to prominent users’ contact information. The company confirmed that email addresses and phone numbers were stolen.   
1,/vinfo/us/security/news/cybercrime-and-digital-threats/facebook-instagram-and-tinder-were-down-what-this-means-for-you,"Facebook, Instagram, and Tinder Were Down: What This Means for You","Facebook, Instagram, Tinder, and other sites were down for about an hour. Facebook is back up now and has sent a brief word  of how a change in infrastructure configuration could have caused the outage."
2,/vinfo/us/security/news/cybercrime-and-digital-threats/hackers-exploit-instagram-api-flaw-to-steal-information-from-verified-users,Hackers Exploit Instagram API Flaw to Steal Information from Verified Users  ,Hackers abused a bug in Instagram’s API and gained access to prominent users’ contact information. The company confirmed that email addresses and phone numbers were stolen.   
3,/vinfo/us/security/news/cybercrime-and-digital-threats/facebook-instagram-and-tinder-were-down-what-this-means-for-you,"Facebook, Instagram, and Tinder Were Down: What This Means for You","Facebook, Instagram, Tinder, and other sites were down for about an hour. Facebook is back up now and has sent a brief word  of how a change in infrastructure configuration could have caused the outage."
4,https://www.securityweek.com/turla-malware-obtains-cc-address-instagram-comments,Turla Malware Obtains C&C Address From Instagram Comments,Backdoor used by the Russia-linked cyberespionage group Turla obtains the address of its C&C server from comments posted to Instagram  [Read More]
5,https://www.securityweek.com/hackers-sell-celebrity-info-obtained-instagram-hack,Hackers Sell Celebrity Info Obtained in Instagram Hack,Hackers are selling phone numbers and email addresses of millions of celebrities and other high profile Instagram users  [Read More]
6,https://www.securityweek.com/turla-malware-obtains-cc-address-instagram-comments,Turla Malware Obtains C&C Address From Instagram Comments,Backdoor used by the Russia-linked cyberespionage group Turla obtains the address of its C&C server from comments posted to Instagram  [Read More]
7,/vinfo/us/security/news/cybercrime-and-digital-threats/hackers-exploit-instagram-api-flaw-to-steal-information-from-verified-users,Hackers Exploit Instagram API Flaw to Steal Information from Verified Users  ,Hackers abused a bug in Instagram’s API and gained access to prominent users’ contact information. The company confirmed that email addresses and phone numbers were stolen.   
8,/vinfo/us/security/news/cybercrime-and-digital-threats/facebook-instagram-and-tinder-were-down-what-this-means-for-you,"Facebook, Instagram, and Tinder Were Down: What This Means for You","Facebook, Instagram, Tinder, and other sites were down for about an hour. Facebook is back up now and has sent a brief word  of how a change in infrastructure configuration could have caused the outage."
9,https://www.securityweek.com/turla-malware-obtains-cc-address-instagram-comments,Turla Malware Obtains C&C Address From Instagram Comments,Backdoor used by the Russia-linked cyberespionage group Turla obtains the address of its C&C server from comments posted to Instagram  [Read More]
